Raccomandabilità,Accoglienza,Esperienza d'acquisto,Esperienza consegna,Test Drive,Qualità esperienza test drive,Overall complessivo generale,Note cliente
10,10,10,10,Non necessario,,10,"Tutto perfetto come sempre dall’aiuto nella scelta dell’auto, del finanziamento e delle faccende burocratiche, Personale professionale, cortese e preciso Tutto insieme valgono i 400 km che (per la 4^ auto consecutiva) percorro per venire ad acquistare un"
10,9,10,9,Non necessario,,10,"Soddisfatto Autotorino Induno Olona (VA) in particolare del venditore-consulente ***, competenza,professionalità e non per ultimo il valore aggiunto umano,capendo le mie aspettative e mie problematiche. Autotorino di Induno Olona sempre."
10,10,10,10,Si,10.0,10,"nessun suggerimento , possodire solo professionalita cordialità e cortesia di tutto il vostro team e specialmente di chi mi ha seguito in tutta questa fase cioè ( *** e *** )"
10,10,10,10,Si,10.0,10,"AVREI GRADITO L'OMAGGIO DELL'AZIENDA AGRICOLA LA FIORIDA, SO CHE NON MI DELUDERETE E DUNQUE RESTO IN DOLCE ATTESA DI QUANTO SOPRA, GRAZIE!"
1,9,6,9,Si,9.0,3,Nessun omaggio mi e’ stato dato. Zero assoluto
10,10,10,10,Non necessario,,10,Autotorino Cremona non ho ricevuto l’omaggio. Ho acquistato una moto
8,9,9,9,Si,9.0,9,Non ho ricevuto l'omaggio
3,9,3,3,Si,9.0,5,"nella mia vita è stata la peggior esperienza di acquisto auto nuova con valutazione e gestione del mio usato. Senza entrare nel merito dell'operazione commerciale, segnalo  una scarsa attenzione alla risoluzione dei problemi ed una indecorosa dimostrazion"
10,10,10,10,Non necessario,,10,"PROFESSIONALE, GENTILE, ESAUSTIVO E COMPETENTE SIA IL VENDITORE *** CHE LA SIGNORA *** CHE SI OCCUPA DI TUTTA LA PARTE BUROCRATICA E DELLA CONSEGNA DELL'AUTOVETTURA. Cordiali saluti.     ***"
9,9,10,10,Si,9.0,9,Sarebbe stato utile il manuale delle istruzioni cartaceo
9,10,9,10,Non necessario,,10,Personale molto serio e competente con un pizzico di simpatia
9,9,9,9,Si,8.0,9,Avevano finito l'omaggio in filiale ma mi chiameranno appena arriva
9,9,9,10,Non necessario,,10,Personale qualificato molto gentile e disponibile.
10,10,10,10,Si,10.0,10,Soddisfatti
10,9,10,10,Non necessario,,10,"L’esperienza è nel complesso molto positiva tutti molto professionali per cui consiglierei agli amici Autotorino di Corsico, nella voce del questionario se ho gradito il vostro omaggio della azienda agricola Fiorida, non posso dire nulla poiché non mi è s"
10,10,10,10,Si,9.0,10,Come avevo già accennato in un precedente sondaggio la valutazione è ottima. La prova su strada è stata effettuata con un auto simile a quella acquistata. Il tempo e i chilometri percorsi servono solo come assaggino. D'altronde il vero approccio con l'aut
10,10,10,10,Non necessario,,10,Tutti gentilissimi ottima attenzione al cliente
9,10,10,10,Si,10.0,10,"Peccato per l'estremo ritardo della consegna della vettura che era in ""pronta consegna"". Ciò mi ha creato diversi problemi lavorativi. Non ho capito perché non sia stato previsto fin da subito il tempo per l'allestimento del gancio traino e l'officina che"
9,9,9,9,No,,9,"Abbiamo telefonato venerdì per chiedere un'informazione tecnica. La signorina che ha risposto, ci ha informato che tutti erano occupati e che saremmo stati chiamati subito Ad oggi nessuno c ha ritelefonato Questo sicuramente non è un punto a Vs favore"
9,10,10,10,Si,9.0,8,Purtroppo ho ordinato l’auto con pneumatici normali invece la vettura mi é stata consegnata con pneumatici runflat. All’ ordine avevo espressamente indicato la mia esigenza che era stata condivisa con il consulente . Abbiamo scelto la tipologia di cerchi
10,10,10,10,No,,10,"Personale gentile, professionale, paziente e disponibile. Un ringraziamento speciale a ***, *** agli addetti alla pre consegna e preparazione del veicolo. Ringrazio per la cortesia e la guida all’acquisto della mia Bayon."
9,9,9,10,Si,10.0,9,"servizio impeccabile, personale competente, vetture corrispondenti alla mia aspettativa, resta da vedere l'affidabilità nel tempo, che oggi è il tallone di Achille di molte altre case automobilistiche"
9,10,9,10,Non necessario,,8,"Reception: sempre molto gentile. Esperienza vendita: *** è stata brava, ma avrei gradito un po’ più di carisma. Esperienza consegna: *** è stato bravissimo. Ha una dote nel parlare con il cliente e nel farlo sentire a suo agio."
10,10,10,10,Non necessario,,10,Mi congratulo per l 'organizzazione veramente top e la gentilezza di intrattenere con un caffe'  e con il giornale. Ambiente giovane con gioco di squadra ottimo. Voto 10
10,10,10,10,Non necessario,,10,"Sono stata trattata bene con gentilezza e rispetto,Molto disponibile la signora ***.      Grazie Mille di tutto."
9,9,9,9,No,,9,Il ritiro della moto poteva essere fatta il sabato Farla solo durante settimana e’ veramente scomodo
10,10,10,10,Non necessario,,10,"Ho molto apprezzato i modi gentili di ***, *** e molto disponibili … molto professionali!!! E cosa gradita…"
10,10,10,10,Non necessario,,10,"Vi ringrazio per la gentilezza e la professionalità dimostrate. Mi sono sentita ""a casa"" e coccolata. Sicuramente Vi farò un'ottima pubblicità!!! *** ***"
10,10,10,10,Non necessario,,10,Consiglio vivamente 👍
10,10,10,10,Si,10.0,10,"La macchina è perfetta, la consiglio a tutti!!!"
10,10,10,10,Si,10.0,10,"HO CONOSCIUTO PRESSO LA VOSTRA FILIALE IL SIG,***,IL QUALE MI HA ACCOMPAGNATA NELLA SCELTA DEL VEICOLO IN OGGETTO. PERSONA SQUISITAMENTE QUALIFICATA,AFFABILE E CORDIALE. SIA LUI CHE IL SUO STAFF,HANNO SODDISFATTO A PIENO LA TOTALITA'DI OGNI MIA RICHIE"
2,8,2,8,Si,2.0,2,scarsissima professionalità del personale di vendita e del personale addetto al ritiro dell'usato. completamente insoddisfacente il servizio nella gestione della consegna del nuovo e nel ritiro dell'usato. i tempi indicati dal vs personale e la gestione f
10,10,10,10,Si,10.0,10,non mi è stato dato ancora nulla anche perché non ho la vettura
4,10,10,10,Non necessario,,8,Dopo aver comprato 6 mezzi e ricevere l'invito per passare una giornata all'Agricola e ti rispondono che non c'è posto alla 4 domenica ho buttato via i tre inviti . se sono i Formaggi per uno che Abita in provincia di Como le scappa da ridere . se parli
10,10,10,10,Si,10.0,10,"E' la seconda auto che acquisto da Autotorino, anche se di marca diversa e la gentilezza e professionalità sono sempre una costante."
9,9,9,9,Non necessario,,9,Automobile con segno sul pellame del sedile passeggero già contestato nel momento della consegna e in attesa di risposta per sostituzione in garanzia
10,10,10,10,Si,10.0,10,"Molto soddisfatto, in particolare segnalo il consulente commerciale, cordiale e disponibile"
3,9,3,2,Si,9.0,2,Problematica relativa all importo da pagare 900 euro in più...7 gg per la risoluzione del.problema...macchina consegnata con ammaccatura sul tetto...nessun interesse per accaduto da parte del venditore e del capo concessionaria...unica assistenza da parte
10,10,10,10,Si,10.0,10,"*** è stato paziente e molto professionale nel spiegarmi tutta la vettura, macchina favolosa come il venditore, complimenti ancora anche a *** e un messaggio per azienda :tenetevi stretti questi ragazzi che vi faranno fare la differenza"
10,10,10,10,Non necessario,,10,Tutti davvero molto gentili e professionali. In modo particolare i miei interlocutori diretti: *** *** e *** ***. Anche il giovane dipendente Autotorino che mi ha dato delucidazioni sul mezzo acquistato alla consegna.
9,9,9,8,Non necessario,,9,La non competenza del personale durante la consegna dell’auto non è stata per la loro non professionalità ma dovuta a una non adeguata formazione tempestiva da parte della  BYD prima di commercializzare la macchina
10,10,9,10,Non necessario,,8,Unico problema è che mi è pervenuta la garanzia dell'auto data in permuta per la durata di un anno riportando peraltro la targa di quella nuova di fabbrica che ho appena ritirato. Ho comunicato alla concessionaria di Torino il fatto senza avere risposta.
9,9,9,9,No,,9,Non mi è stato consegnato il vostro omaggio
9,9,6,9,No,,9,Non honricevuto nessun omaggio e quando ho acquistato non mi è stato spiegato bene quanto avrei pagato in totale compresa la polizza casco...sapendolo avrei acquistato in contanti
10,10,10,10,Non necessario,,10,"Sono pienamente soddisfatto del percorso fatto durante la fase di acquisto e di consegna auto,*** *** *** è stato molto attento e professionale"
10,10,10,10,Non necessario,,10,Ottimo
10,9,10,10,Si,10.0,10,UN GRAZIE SINCERO PER L'ACCOGLIENZA E LA DISPONIBILITA' DI TUTTO IL PERSONALE DI ENTRAMBE LE FILIALI. ORA NON MI RESTA CHE PROVARE LA MIA NUOVA CH-R. BUON LAVORO A TUTTI.
9,9,9,8,Si,9.0,9,"Tenerci informati, dei ritardi o di arrivi dell'autovettura e non aspettare che il cliente chieda se ci son prolemi o se ci son novità. Alla consegna avere la macchina, diciamo, lavata in velocità, da un po' fastidio. Aggiungerei una guida di prova durant"
4,10,6,2,No,,2,"Dopo mesi di ritardo non ci avete ancora consegnato i mezzi ordinati. O meglio, per essere precisi, su tre mezzi ordinati ne state consegnado uno adesso con estremo ritardo"
10,10,10,10,Si,10.0,10,Cambiate i portachiavi che fate in omaggio perché sono veramente cheap e brutti
10,10,10,10,Non necessario,,10,Cordialità e massima disponibilità nei miei confronti Complimenti a tutto lo staff
10,10,10,10,Si,10.0,10,Tutto perfetto
9,9,9,9,Non necessario,,9,"Sono molto soddisfatto per ce rcare il pelo nell'uovo consiglio di spiegare meglio la gestione della schermo, grazie a tutti i dipendenti della Filiale di Modena"
9,9,9,9,Non necessario,,9,Bravissime persone e soddisfatta della macchina e soprattutto del personale qualsiasi cosa che hai bisogno cercano di aiutarti e risolvere problema complimenti a tutto lo staff autotorino ….
10,10,10,10,No,,10,L’auto non è stata pulita benissimo alla consegna.. ma nel complesso sono soddisfatto soprattutto per il venditore *** molto gentile e cordiale e soprattutto disponibile
2,2,2,8,No,,2,"buongiorno, volevo far presente che è stato tutto soddisfacente fino all'acquisto mentre dopo molta poca professionalità. continue telefonate da parte mia senza risposta che ha portato un ritardo di circa 7 giorni per sapere che non ero finanziabile quand"
10,10,10,10,Si,10.0,10,"Giudizio positivo, tutto bene!"
10,10,10,10,Non necessario,,10,"⭐️⭐️⭐️⭐️⭐️ Voglio lasciare una recensione molto positiva per tutto il personale della concessionaria Autotorino di Legnago (VR). Un grazie speciale alla venditrice *** *** per la gentilezza, la chiarezza e la soluzione trovata per la mia nuova auto:"
10,10,10,10,Si,10.0,10,Ok
10,10,10,10,Non necessario,,10,Sono molto soddisfatto del servizio fornito da Autotorino. Grazie
10,10,10,10,Si,10.0,10,"La verifica di prova su strada è stata anticipato verbalmente dallo scrivente, ma non dubito che il signor *** *** me l'avrebbe proposto vista la sua professionalità."
10,10,10,10,Si,10.0,10,Tutto bene
9,10,9,9,Non necessario,,9,"Complimenti a *** della concessionaria Toyota di Cesano Boscone per la professionalità, sensibilità e cortesia."
10,10,10,10,Si,10.0,10,"*** è stato molto disponibile fin dal primo incontro e nella prova, si è messo a disposizione dandosi da fare in tutta la gestione fino alla consegna."
1,5,1,10,Non necessario,,9,Scontento di come sono stati spiegati i termini di ammortamento dell’acquisto finanziato con maxi rata finale. E mi fermo qui.
10,10,10,10,Si,10.0,10,Commenti solo positivi
9,9,9,9,Si,9.0,9,Nessun omaggio!
1,10,1,10,Si,10.0,7,"Troppo insistenza nel vendere servizi accessori (leasing e assicurazione) nella fase di trattativa. Scarsa trasparenza sull'importo dell'acconto, infatti ho dovuto pagare di più rispetto quanto indicato nel contratto; ho accettato per l'urgenza di avere l"
10,10,10,10,Non necessario,,10,"Nessun commento, tutto bene"
10,10,10,10,Non necessario,,10,Personale vendita e consegna autovettura professionale / disponibile
10,10,10,10,Non necessario,,10,Sono rimasto molto soddisfatto specialmente nella persona di *** *** che mi ha seguito e capito tutte le mie esigenze. Grazie
9,9,9,9,No,,9,Una maggiore esposizione delle caratteristiche dell' auto con cambio automatico per chi ha guidato per 55 anni auto con frizione e cambio manuale
10,9,10,10,Non necessario,,10,Professionalità e cortesia a pari merito. Accolta col sorriso e uscita col sorriso
10,10,10,10,Si,10.0,10,Brevi!
10,10,10,9,No,,10,"Ottima scelta l'omaggio, mi ha invogliato ad andare a visitarla di persona. Tempistica rispettata, molto soddisfatto."
9,9,9,10,Non necessario,,9,Il timing tra accettare nuova Mini con finanziamento annesso e valutazione con perizia della vecchia BMW andrebbe uniformato allo stesso momento o addirittura rovesciato per maggior trasparenza verso cliente Non dipende da personale ma la procedura Autot
10,10,10,10,No,,10,Non ho ricevuto nesun omaggio
10,10,10,10,Non necessario,,10,"Il personale di vendita e di ammi stazione ha offerto prestazioni eccellenti sia nella professionalità che nel rapporto interpersonale. Ringrazio, per la consegna dell'autovettura, anche le collaborazioni curate dei servizi tecnici. Mi auguro infine che l"
10,10,10,10,Non necessario,,10,"Complimenti per puntualita’, cortesia e professionalità."
10,10,10,9,Si,9.0,10,L'unico suggerimento può essere dedicare un po' più di tempo per spiegare l'uso del veicolo in EV e le modalità di ricarica in wall box private e pubbliche.
10,10,10,10,Non necessario,,10,Nessuno tutti bravi complimenti
10,10,10,10,Non necessario,,10,"Sono stato veramente soddisfatto dal venditore. Sono stato chiaro in quello che desideravo e senza farmi perdere tempo ha capito le mie esigenze e necessità. In generale sono stato soddisfatto anche dall'amministrazione che è stata gentile, cortese nell'e"
10,10,10,10,No,,10,"Un ringraziamento particolare per la disponibilità e la professionalità a ***, *** e ***."
10,10,10,10,Si,8.0,10,L'APP KiA NON si connetteva all'auto in fase di consegna e nemmeno ora. La cosa  non so come risolverla e mi infastidisce.
10,10,10,10,No,,10,Esperienza eccellente con *** per il leasing della mia Mini Cooper C. • Accoglienza e ascolto: empatia e attenzione sincera. • Chiarezza e disponibilità: risposte pronte e varie soluzioni sempre spiegate con trasparenza. • Professionalità c
3,7,4,3,Si,9.0,3,AL MOMENTO DEL RITIRO MI E' STATO RICHIESTE UN  VERSAETO DI 1000£ AGGIUNTIVO AL CONTRATTO E AL SALDO GIA' EFFETTUATO IN QUANTO LA PERIZIA  DA VOI EFFETTUATA NON ERA ADEGUATA-  COSI MI E' STATO DETTO  - TUTTO QUESTO AL MOMENTO DEL RITIRO OQUINDI HO DOVUTO
10,10,9,10,Non necessario,,9,Mi congratulo con il responsabile *** e la sua capacità di individuare e risolvere prontamente le criticità. Le persone fanno sempre la differenza.
10,10,10,10,Si,10.0,10,nessun suggerimento tutto perfetto.
10,10,10,10,Non necessario,,10,"Non avendo avuto l'omaggio dell'azienda La Fiorida, non posso esprimermi"
10,10,10,10,Non necessario,,10,"Sono rimasto molto ben impressionato dalla cordialità, competenza e professionalità sia delle ragazze alla reception del piano terra che della ragazza bionda al terzo piano di cui non ricordo il nome; stesso discorso dicasi per il Sig. ***, della Sig.ra"
10,10,10,10,Si,10.0,10,*** e *** sono state molto gentili e disponibili
8,10,8,8,Si,8.0,8,Avrei piacere che mi risolvessero il rumore fastidioso della telecamera  posteriore grazie
10,10,10,10,Non necessario,,10,"spettacolo, trattamento speciale dal primo istante. Complimenti al veditore *** 10 e lode!!"
10,10,10,10,Non necessario,,10,"Fin dalla prima volta che siamo stati in concessionaria, abbiamo trovato della gente disponibile e preparata per ogni quesito. Ci siamo trovati molto bene"
10,10,10,10,Si,10.0,9,L’unica nota negativa sono stati i tempi di consegna troppo lunghi dal momento che l’auto era stata immatricolata il 29 luglio.
10,10,10,10,Si,10.0,10,"Tutto perfetto, cortesia e gentilezza da parte di tutti"
9,10,10,9,Si,10.0,10,"Purtroppo il venditore e il personale che ha espletato la parte burocratica meritano un 10 pieno, mentre il tecnico che mi ha consegnato l'auto non mi ha soddisfatto in pieno."
10,10,10,10,Si,10.0,10,Complimenti sono rimasto molto soddisfatto bravi 👏👏👏
9,9,9,9,Non necessario,,9,n.c.
2,6,8,8,No,,2,Rivedere la spiegazione sul bollo regionale Emilia vs Lombardia perché non chiaro e fonte di danno economico . Rivedere approccio al cliente elencando con precisione cosa è compreso e cosa non è compreso nei pacchetti degli optional . Per intenderci : se
9,9,9,9,,,9,Il giro di prova non mi è stato proposto ma non l' avrei fatto.
9,9,9,9,No,,9,"Soddisfatto, molto gentili, puntuali, un pò cari con costi non giustificati. Non capisco perché debba pagare il cliente lo sdoganamento delle auto BYD"
10,10,10,10,Si,10.0,10,Nessun commento o suggerimento. Tutto super perfetto.
10,10,10,10,Non necessario,,9,"Non so niente dell""omaggio Floridia"
10,9,10,10,Non necessario,,10,"L'omaggio della azienda agricola non mi è stato dato. Mi sono trovato molto bene e siete stati anche precisi nella consegna, sono davvero soddisfatto."
10,10,10,10,Non necessario,,10,Non ricevuto omaggio Per tutto il resto pienamente soddisfatto
10,10,10,10,Si,10.0,10,*** ci ha seguito nell'acquisto persona precisa professionale paziente e molto preparata. Consiglio grazie ***
10,10,10,10,Si,10.0,10,"Buongiorno, in  AUTOTORINO ho trovato grande professionalità’ e gentilezza. In particolare ha avuto cura di me ***, un ragazzo all’altezza della situazione , spiegandomi per filo e per segno una automobile abbastanza complessa come la Ineos Granadier"
10,10,10,10,Si,10.0,10,Ottima esperienza Continuate così
10,10,10,10,No,,10,Avrei preferito come omaggio un set di panni o altri gadget per la pulizia della vettura al posto del formaggio.
10,10,10,10,Non necessario,,10,La Signora addetta all'amministrazione e il Sig *** sono stati davvero gentili e precisi nello spiegarmi il tutto.
10,9,10,10,Si,10.0,10,non ho ricevuto nessun omaggio
9,9,9,4,Si,9.0,7,Che omaggio non ho avuto alcun omaggio ancora sono in attesa di ritirare la macchina promessa per il 15 settembre e pagata perché pronta al ritiro da due settimane
10,10,10,8,No,,10,LE SPIEGAZIONI SULL'INFOTAINMENT E SULL'USO DEL MENU' SONO STATE FRETTOLOSE. LA MAGGIOR PARTE DEL TEMPO E' STATO IMPIEGATO PER AGGIORNARE L'APP
6,9,8,3,No,,9,"NEL MIO ACQUISTO DI AUTOVEICOLO , BENISSIMO NELLA FASE DI DESCRIZIONE E SPIEGAZIONE NELLA FASE DI RITIRO , MOLTO DA MIGLIORARE , CAUSA MIA , E DICO MIA ,NELLA FRETTA NON HO EFFETTUATO I VARI CONTROLLI DEL CASO , AUTO DANNEGGIATA E ALCUNE REGOLAZIONI DA F"
9,9,9,9,,,9,"Probabilmente sarebbe utile una maggior informazione sulla gestione dei comandi dell'auto dato che, potenzialmente, è dotata di tecnologia avanzata che rischia di non essere sfruttata da un utilizzatore medio per la difficoltà nel reperire istruzioni o tu"
10,10,9,9,No,,9,Non ho avuto nessun omaggio
10,10,10,10,Non necessario,,10,"Buongiorno , il personale è stato gentilissimo , ho trovato un'ottima accoglienza sia alla prima visita che in fase di ritiro dell'auto .Per l'omaggio : ho ricevuto il messaggio , ma al momento della consegna mi hanno detto che non era disponibile e sarei"
10,10,10,10,Si,10.0,10,Professionalità e cortesia . Consiglio vivamente Soddisfatto  grazie
9,9,9,10,Si,9.0,9,Grazie x il servizio.
1,1,1,1,Si,10.0,1,È inaccettabile che mi venga consegnata un auto nuova rigata!
10,10,10,10,Non necessario,,10,Mi hanno omaggiato il telo mare che sicuramente utilizzerò.
10,10,10,10,Si,10.0,10,Veramente soddisfatto
10,10,10,10,No,,10,Suggerirei di poter effettuare un ulteriore spiegazione riguardante l’utilizzo del MBUX non essendo di facile apprendimento;senza nulla togliere al vostro personale incaricato alla consegna che ho comunque molto apprezzato.Nei prossimi giorni passerò da v
10,10,10,10,Non necessario,,10,"NESSUN SUGGERIMENTO.  E' STATO TUTTO PERFETTO, DALL'ORDINE DELL'AUTO ALLA CONSEGNA"
10,8,8,8,No,,8,"Buongiorno, colgo l'occasione per ringraziare il venditore ***,....ragazzo preparato, competente, professionale, gentile, attento e puntuale alle richieste del cliente. Una marcia in più!!....vorrei precisare che non conoscevo prima di quest"
10,10,10,10,Si,10.0,10,"Tutto perfetto,  unico punto negativo, migliorare le informazioni sul ritiro dell’usato, in merito al bollo auto in scadenza, onde evitare disguidi. Per il resto nulla da aggiungere."
10,10,10,10,Non necessario,,10,"nessun suggerimento ,in quanto la professionalità del tim e eccellete"
10,10,10,10,Non necessario,,10,Tutto eccezionale
10,10,10,10,Si,10.0,10,Mi sono trovato benissimo in consegna con ***
10,10,10,10,Non necessario,,10,Ho avuto modo di interagire con *** Che mi ha assistito dall'inizio alla fine. Dando supporto per ogni moa richiesta
9,9,9,8,Si,9.0,9,Abbandonati durante le spiegazioni e disorganizzazione nella consegna. Soddisfatti del venditore.
9,9,9,10,No,,9,Valutazione ottima. Qualche difficoltà nella gestione burocratica e nell'accesso al servizio MyFinance online.
9,7,3,3,Non necessario,,4,Più trasparenza
10,10,10,10,Si,10.0,10,Non saprei cosa  suggerire in quanto tutto si è svolto in maniera estremamente  soddisfacente. Consigliato assolutamente
10,10,10,10,No,,10,deluso della cassetta nel bagagliaio. Manca la ruota di scorta il crick e la chiava della ruota. il compressore e una cazzata colossale oh avuto questa esperienza e oh dovuto chiamare il soccorso stradale. Distinti saluti
10,10,10,10,Si,10.0,10,"Considerate le numerosissime funzioni digitali installate che l’utente deve gestire, dedicherei del tempo al training sulle funzionalità"
